MAXIMO_X,MAXIMO_Y,MAXIMO_Z,MINIMO_X,MINIMO_Y,MINIMO_Z,MEDIA_X,MEDIA_Y,MEDIA_Z,MODA_X,MODA_Y,MODA_Z,MEDIANA_X,MEDIANA_Y,MEDIANA_Z,VARIANZA_X,VARIANZA_Y,VARIANZA_Z,TIPO,TEXTO_TIPO
5940,24356,5192,-8940,8392,-2196,-1525,15804,1341,-1272,15720,300,-1728,-1728,-1728,2275,2148,1465,1,BAJAR_ESCALERAS
3108,20248,3440,-11848,11920,-4408,-2379,15487,1161,-6580,13376,2736,-3332,-3332,-3332,2836,1678,1894,1,BAJAR_ESCALERAS
5796,24056,4580,-8784,7292,-2292,-3046,15406,1305,-4444,14328,2880,-4568,-4568,-4568,2281,2229,1614,1,BAJAR_ESCALERAS
5480,23764,5176,-9076,9472,-4160,-2578,15458,1253,-1688,14824,-908,-4464,-4464,-4464,2707,2443,1687,1,BAJAR_ESCALERAS
1856,23712,4864,-9628,11032,-3132,-2560,15495,1237,-1348,15396,-1252,-2552,-2552,-2552,2198,2123,1502,1,BAJAR_ESCALERAS
3308,23616,3960,-10392,5628,-2924,-2153,15774,1099,-1176,15292,56,-10392,-10392,-10392,2591,2661,1300,1,BAJAR_ESCALERAS
6060,25260,2880,-7140,10356,-5344,-403,16087,5,2128,15816,-1388,-1716,-1716,-1716,2620,2082,1674,1,BAJAR_ESCALERAS
1512,24588,6424,-9428,10560,-6164,-2263,15756,827,-364,15824,-480,-340,-340,-340,2164,2422,1599,1,BAJAR_ESCALERAS
1132,26692,4968,-10240,7400,-2852,-2945,15666,1002,-2376,15732,228,-9796,-9796,-9796,2184,2469,1429,1,BAJAR_ESCALERAS
4452,27896,3192,-8616,8604,-3356,-2785,15438,1050,-2072,15652,1132,-6140,-6140,-6140,2170,2582,1301,1,BAJAR_ESCALERAS
2208,27788,7800,-7812,3360,-96,-1878,15236,2989,-2176,14748,2128,-2384,-2384,-2384,1748,2890,1745,1,BAJAR_ESCALERAS
4720,21540,3796,-9748,7088,-2624,-2547,15645,1071,-1944,15816,2124,-1456,-1456,-1456,2369,2407,1353,1,BAJAR_ESCALERAS
2636,29496,9440,-7064,4948,-644,-2714,15237,3457,-3788,13552,2464,-3788,-3788,-3788,1607,2724,1845,1,BAJAR_ESCALERAS
4136,22624,6228,-8716,9440,-4408,-2574,15495,1332,-2836,15852,824,-4392,-4392,-4392,2117,1859,1549,1,BAJAR_ESCALERAS
2660,22432,12920,-8488,9884,500,-3064,14956,3362,-2948,14904,816,-2888,-2888,-2888,1890,1963,1863,1,BAJAR_ESCALERAS
2300,20276,4244,-9900,11324,-4648,-3052,15337,1491,-5148,12996,1860,-5148,-5148,-5148,2187,1765,1745,1,BAJAR_ESCALERAS
3896,18988,13508,-7340,9768,948,-2807,15015,4082,-6696,15620,3064,-4552,-4552,-4552,2087,1640,2147,1,BAJAR_ESCALERAS
6828,26868,3260,-6352,9792,-5332,1009,16304,-406,1444,15928,-5132,4436,4436,4436,2333,2977,1837,1,BAJAR_ESCALERAS
3972,23672,3300,-6168,11168,-3968,-1128,15728,432,-2648,15852,816,-920,-920,-920,1989,1969,1751,1,BAJAR_ESCALERAS
2348,24632,10456,-7236,9268,-3436,-2041,15619,1811,-7236,14892,-620,288,288,288,2057,2543,2055,1,BAJAR_ESCALERAS
